2094,Coates,7
2136,Pearce,7
46,Stokes,6
954,Wainwright,6
1303,Raymond,6
1658,Nicolson,6
1933,Shoebridge,6
193,Dean,5
724,Derbyshire,4
1091,Dexter,4
1257,Rake,4
1364,Newton,4
42,Whittington,3
470,Eddington,3
876,Henryson,3
1368,Vernon,3
1627,Prichard,3
1874,O'Meara,3
2163,Amherst,3
1669,Partridge,2
1985,Pester,2
208,Waugh,1
935,Powell,1
1108,Warner,1
87,Ryle,0
1714,Syers,0
2182,Glasspool,0
